duration,indexlh,indexl,indexh,logB,maxloglikelihood,SNR_comb_median,SNR_comb_global,run_time,total_croptimel,total_croptimeh,notchlist_l,notchlist_h,width_median,width_plus,width_minus,width_global,amplitude_median,amplitude_plus,amplitude_minus,amplitude_global,phase_median,phase_plus,phase_minus,phase_global,spacing_median,spacing_plus,spacing_minus,spacing_global,fmin_median,fmin_plus,fmin_minus,fmin_global,fmax_median,fmax_plus,fmax_minus,fmax_global,res_phase0_median,res_phase0_plus,res_phase0_minus,res_phase0_global,res_amplitude_median,res_dt_median,duration_median
58.0,322,9,-2,-3.0347433503552055,17.78286281349196,4.266371029451288,10.979297425064678,20190.73886,1,1,"[60.0, 180.0]","[60.0, 180.0]",0.11148299423936286,0.6663321811056679,0.08107848098157419,0.13109487727990307,5.594356479559234e-24,7.517736722478376e-24,3.982126800628096e-24,1.7465065489601422e-23,0.43803822194223135,0.38339101432776784,0.2499701271617634,0.23459414046952623,4.718437867247967,1.7509035819956802,2.0331520335638724,6.468603241014005,131.62680216310963,33.53911731947974,49.907038260490964,150.69691424004344,224.08146837131267,33.414791364818996,39.54390076236169,225.75464121754464,1.154207953605333,2.574888817017281,2.0214247164357144,-0.5659917350706023,58.0,1.0,0.0024500000000000004
58.0,144,6,-1,-3.3090748998212436,19.24052402329722,4.322093369881811,10.349461365899876,22033.039923,1,1,"[60.0, 180.0]","[60.0, 180.0]",0.08566231586943666,0.25393225915129747,0.05740944427153269,0.06699988701699347,5.970853043066851e-24,8.081841451366984e-24,4.4035812614992754e-24,1.9104830386790342e-23,0.545494565117723,0.24570375047711157,0.36128080287561093,0.7859210334020827,4.693302041057759,1.0179089939790806,1.9640107853471123,5.610714721747808,123.6803753937142,53.33106911949872,45.78837973904217,180.8272352755841,236.2171146615405,29.395919858261777,53.933903003239095,263.814171965919,1.9900833375287483,1.5659304951046682,2.4876700740557482,2.9985997168998137,58.0,1.0,0.0024500000000000004
58.0,483,11,1,-3.350124703214975,16.38650107223584,3.2536676395298323,9.574827321527604,19892.182309,1,1,"[60.0, 180.0]","[60.0, 180.0]",0.07674084015373067,0.47804942161421143,0.05040865724865523,0.019667674361650213,4.842855550683342e-24,6.41739559816421e-24,3.432959753695278e-24,3.2907827262547787e-23,0.5077285972727323,0.3429031321941234,0.3393055487894072,0.1563584227319171,4.438426656464877,1.5166741052487716,1.7738094633954873,4.870440926192454,121.98606985917276,48.55732515726045,45.63816155648156,180.2848432786449,227.12154811974827,33.896499910758365,51.56610546043129,256.6126759891673,1.4981409452750787,2.327285268871874,2.1450863836977305,-1.5085517768115482,58.0,1.0,0.0024500000000000004
58.0,387,10,7,-2.947104756738246,22.074826974362324,6.5867023291056785,11.238434083902101,20150.502977,1,1,"[60.0, 180.0]","[60.0, 180.0]",0.05991030637863301,0.16948438094815793,0.034123042141192925,0.048694581059843436,1.1249805854727982e-23,1.2708661073454765e-23,9.070507745727312e-24,2.709450627554833e-23,0.5204475886763318,0.2159662310202347,0.2966360118320558,0.5263067001137516,3.35797313548882,1.8652045049338972,0.19404985497114824,3.356971102623872,164.41264974419025,32.43878507038497,74.12301698736704,196.47214945654437,234.89198323713737,24.655380318902758,44.14466458325154,234.71448517305603,-0.1329459424628997,3.2072519110200943,0.6890543241334348,-0.6536999261001695,58.0,1.0,0.0024500000000000004
58.0,8,-2,1,-3.009569064075253,20.20143263896829,5.690490539432458,8.766542788496114,19470.545299,1,1,"[60.0, 180.0]","[60.0, 180.0]",0.1348552125193855,0.5328550302465329,0.10576792173612057,0.022480503333298995,7.06021237154903e-24,6.186927075182958e-24,5.1837393800899185e-24,2.7178683450477716e-23,0.5700494108713295,0.2520198031852924,0.4199228064340026,0.1489727144459666,5.389332347905491,0.8932281328624789,2.453894276940219,6.364127116454068,143.82702513575788,32.93104911208334,59.5325584251099,146.11390643824998,244.08792582281208,19.425687809556422,54.15857024719884,253.82573485186975,0.8933739242499947,2.31163245339778,1.2113427831641785,2.9634961695583364,58.0,1.0,0.0024500000000000004
58.0,295,3,9,-3.389237450994057,18.684224278282045,3.493226544672195,8.223014368295408,24459.143966,1,1,"[60.0, 180.0]","[60.0, 180.0]",0.07362506949397433,0.2972194050362691,0.04719924855554788,0.020414335175897833,5.315024696521616e-24,8.193114598936915e-24,3.87247586609688e-24,3.3296082593008563e-23,0.539114002395933,0.3094335440617181,0.34306600453372516,0.8549781515861243,4.359940064482803,1.6654426525040131,1.7054707885750053,4.79387321698246,119.76899629146979,44.623335017838144,43.945806133891836,136.47423241363248,216.25546814917374,39.61733887484314,41.40525064053253,194.02993751511556,1.9066356223665515,1.7792564269395756,2.229932848619226,3.166256289794121,58.0,1.0,0.0024500000000000004
58.0,317,9,4,-3.093419587816495,20.206537992711606,4.508668937406039,11.871166099975822,23432.846268,1,1,"[60.0, 180.0]","[60.0, 180.0]",0.09587605269568733,0.6301213287076745,0.06520698976015259,0.07109493286333354,5.802068022501161e-24,6.924743267167707e-24,4.224882025575529e-24,1.5068155968313855e-23,0.41239162455869016,0.3947920713656322,0.24874048506809976,0.2749497832573121,3.7008705242615294,2.181220995156089,1.9538869203049016,1.7438903867227833,139.47271664209444,37.44589994239038,58.4231421865764,173.03209774800004,229.41576720920716,29.919000059953646,43.36838888347552,227.2517043007322,2.5503593164807064,1.1538048070583318,2.523054480566058,3.5932577655221802,58.0,1.0,0.0024500000000000004
58.0,398,10,-2,-3.282250546474556,19.859402905815678,3.3763889638488647,9.429860916513467,21629.540666,1,1,"[60.0, 180.0]","[60.0, 180.0]",0.07749645747415135,0.5101383712121104,0.0519079647432434,0.0229167837148177,5.243951149084261e-24,7.8691351477898e-24,3.739892230361796e-24,3.478393798730787e-23,0.5439252883296822,0.3529933634480681,0.3617279000584826,0.9033893409569166,4.320621288733156,1.477102219394804,1.6428625288572989,4.9437371405467365,124.13816821228173,38.908893268461355,48.21534181216535,149.68310683856038,216.33119557493382,39.73572355968332,42.418350969115636,207.770084887842,0.7363993166001022,2.6026194647436864,1.5684172416602873,-0.9659018534624288,58.0,1.0,0.0024500000000000004
58.0,27,1,3,-3.360582434717808,16.087372019962356,3.3774872967440714,9.040373256283562,26278.086364,1,1,"[60.0, 180.0]","[60.0, 180.0]",0.08712842610718487,0.4098592654348882,0.059152445038344555,0.022450206121913664,4.660896966915162e-24,6.506624322982225e-24,3.356335793929344e-24,3.2530293525803366e-23,0.4840533439840537,0.356644175195637,0.33496574363705006,0.7179212271043736,4.43407416370068,1.4178573429285848,1.8245824115502374,4.117117314708608,125.42946479162761,53.56594800363224,50.15297409458606,142.71544171464677,230.03733300022097,33.88667040022105,51.020399018243836,199.92747004203827,1.7251782590758427,1.8459938856603046,2.049524908229752,2.13613321852217,58.0,1.0,0.0024500000000000004
58.0,141,6,2,-3.5005438253563486,18.970988104971592,3.1164518928403644,9.197523917044498,25556.490269,1,1,"[60.0, 180.0]","[60.0, 180.0]",0.06481265468417877,0.3684035346225035,0.040435174523871464,0.029707551120339147,5.097581163727265e-24,8.119151604091189e-24,3.770240401798453e-24,3.4960540797697937e-23,0.5217994889812225,0.33747405175364886,0.335212939745959,0.8443084835393909,4.434162925472176,1.5618358809196415,1.6633823493844409,6.369936413393822,121.41455576285085,42.48716877397601,45.68515989025775,107.61717888187655,221.28192627003324,38.1637900365273,47.83512307836946,173.46671071991585,1.5118827249788926,2.2520906483961722,2.4020309261268045,1.685965062298632,58.0,1.0,0.0024500000000000004
